ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,status,price,quantity,delivery_method,ticket_type,name_type,raw_description,first_observed_at,last_observed_at,sold_at,details_fetched,year_month
miawtdpd67,1780253292059,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,listing,5999,1,当日手渡し,paper,female,"ランダム配布を理解されている日本語の通じる女性の方のみご購入お願いいたします。代理購入不可。
同時に入場しチケット発券後1度解散しこちらで席を選び開演前迄にチケ...",2026-05-31 18:48:12,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780035426219_18000,1780035426219,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,18000,2,公演日前日までにログイン情報共有,electronic,female,"初期当選／該当名義(井上)／有効期限内／QR毎／ペイジー決済／すり替えなし／下3桁提示可／着ブロ希望なし／変更ボタンあり／サイチェン可

【注意事項】
・ログイ...",2026-05-29 06:17:06,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780073651482_5800,1780073651482,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,5800,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:54:11,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780073702302_6205,1780073702302,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,6205,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:55:02,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780062389294_5500,1780062389294,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,5500,2,ランダム配布,electronic,female,"ランダム配布となります。連番でご購入いただいた場合には必ず連番でお渡しいたします。

全名義エラー履歴なし、同一クレカコンビニ払いなし

・公演当日、開場30分...",2026-05-29 13:46:29,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780073617140_5800,1780073617140,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,5800,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:53:37,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780066795637_20000,1780066795637,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,20000,1,同行,electronic,female,"当方（中村担）との同行/初期当選/該当名義/下3桁提示可能/有効期限内/変ボ有/同行者登録可能/本確対応不可

ご覧いただきありがとうございます。
必ず最後まで...",2026-05-29 14:59:55,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780030237596_10000,1780030237596,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,sold,10000,2,ランダム配布,electronic,female,"ランダム配布となります。連番でご購入いただいた場合には必ず連番でお渡しいたします。

・公演当日、開場30分前を目安に会場付近で待ち合わせをし、同時入場していた...",2026-05-29 04:50:37,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
7sp9rtgqtc,1780073676410,key-to-lit-arena-tour-2026-neo-classics,2026-10-04,17:30,マリンメッセ福岡 A館,listing,6205,1,同行,electronic,female,"座席未定 ランダム配布 条件あり 座席選択不可 代理購入不可 

 ランダム配布になりますので最後までご理解いただきご購入ください。  

・複数名義所持してお...",2026-05-29 16:54:36,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780116439940_10000,1780116439940,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,10000,2,同行,electronic,female,"2番手中2番手/初期当選/該当名義×2/下3桁提示可能/有効期限内/変更ボタン有

下記全てに同意いただける方のみご購入お願いいたします。

当日はこちらが指定...",2026-05-30 04:47:19,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
0vt7kxhhna,1780028076987,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,listing,20000,2,2名義中2番手,electronic,female,"FC初期当選/2名義中2番手/下3桁提示可/該当名義/有効期限内/着ブロ無し/すり替え無し

公演当日、開場時間15分前目安に集合して頂き同時入場致します。入場...",2026-05-29 04:14:36,2026-08-27 07:17:28,,False,2026-05
sold_key-to-lit-arena-tour-2026-neo-classics_1780077268041_13000,1780077268041,key-to-lit-arena-tour-2026-neo-classics,2026-10-09,18:00,セキスイハイムスーパーアリーナ,sold,13000,2,当日お手渡し,electronic,female,"FC初期当選/2名義中2番手/下3桁提示可/該当名義/変更ボタン有り/有効期限内/着ブロ無し/すり替え無し

公演当日、開場時間10分前目安に集合して頂き同時入...",2026-05-29 17:54:28,2026-08-27 07:17:28,2026-08-27 07:17:28,False,2026-05
