ticket_id,created_at_unix,event_id,perf_date,perf_time,venue,ticket_type,name_type,delivery_method,seller_name,seller_rating,order_num,ticket_tags,first_observed_at,last_observed_at,sold_at,sold_at_source,status,quantity,price,raw_description,details_fetched,year_month
sold_milesixtones-2026__21500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,ランダム配布,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,21500,"【ランダム配布】全て初期当選、会員有効期限内、女性名義

１．同時入場後、全てのチケットを回収し一旦解散させて頂きます。当方座席選択後、ランダムにチケットをお渡...",False,2026-09
sold_milesixtones-2026__44000,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,公演日前日までにQRコード共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,44000,"QR毎/初期当選/アリツア落選名義/重複すり替えなし/着ブロ希望なし/下3桁提示可能/有効期限内/発送物戻りなし/同一住所エラーなし

公演前日夜にログインに必...",False,2026-09
sold_milesixtones-2026__11300,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,11300,"4名義中4番手/有効期限内/下3桁提示可能/すり替えなし/着ブロ希望なし/本人確認不可

4名義中の4番手のチケットです。
公演当日は会場付近にて開場40分前を...",False,2026-09
sold_milesixtones-2026__59000,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,59000,"7名義中2番手/初期当選/下3桁提示可/有効期限内／すり替えなし
※特別出品、プライベート出品にも変更可能ですので、ご希望の際はリクエストメッセージをお送りくだ...",False,2026-09
sold_milesixtones-2026__10330,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,10330,"＋2.0当日手渡し(合計3.0)
3名義中2番手
当方が2連でお譲りして頂いたチケットの1枚分になります。当方と同行です。

【取引相手の方からの連絡】
・お譲...",False,2026-09
sold_milesixtones-2026__34500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,QR毎 (公演前日にログイン情報共有),,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,34500,"QR毎 初期当選すり替えなし下3桁提示可能郵便物戻りなし
有効期限内名義アリーナツアー落選名義着ブロなし
ランダムエラーで入場できなかった場合など、公演中止以外...",False,2026-09
sold_milesixtones-2026__10800,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボード,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,10800,"【条件あり】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演5~10分前を目処に再集合の上チケットをお渡しさせていただきます。座席につい...",False,2026-09
sold_milesixtones-2026__47000,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,公演前日にログイン情報共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,47000,"QR毎/初期当選/重複・すり替えなし/下3桁提示可能/有効期限内名義/アリツア落選名義/着ブロ希望なし

・公演前日にログイン情報をお伝えいたします。
・入場後...",False,2026-09
sold_milesixtones-2026__20500,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,連絡ボード,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,20500,"プライベートモードにてお取引希望の為希望者の方はメッセージお願い致します

【条件あり】
チケットを複数所持しております。同時入場後にチケットを一旦回収し、開演...",False,2026-09
sold_milesixtones-2026__11272,,milesixtones-2026,2026-09-19,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,11272,取引様専用,False,2026-09
sold_milesixtones-2026__12520,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,専用,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,12520,"複数名義のランダム配布となっております。全てコンビニ決済、有効期限内、初期当選の名義となります。以下の注意事項を了承の上ご購入をお願いいたします。
・買い手様に...",False,2026-09
sold_milesixtones-2026__14900,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,14900,"★早わたしランダム配布★
入場後15分以内に必ずチケットをお渡しいたします。

開場20分前にご集合いただき同時入場後、チケットを一度回収し再配布いたします。...",False,2026-09
sold_milesixtones-2026__41400,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,同時入場,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,41400,"5名義中2番手
初期当選 下3桁提示可能

公演中止以下のキャンセル不可
ランダムエラーなどいかなる場合でも返金不可です。

待ち合わせなどはお日にち近くなり次...",False,2026-09
sold_milesixtones-2026__36195,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,連絡ボードにて,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,36195,"＊前日にログイン情報をお伝えします
＊入場後すみやかにログアウト・受取評価をお願いします。また、完了の旨公演開始時間までにご連絡ください
＊体調不良、交通機関の...",False,2026-09
sold_milesixtones-2026__5000,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,5000," 3.0/枚 残り2.5当日手渡し
プライベートモードにて再度出品いたしますので、お取引希望の方はメッセージにてご連絡ください。
2連中1枚
当方と同行です。...",False,2026-09
sold_milesixtones-2026__29000,,milesixtones-2026,2026-09-20,17:30,味の素スタジアム,electronic,female,公演前日にQR共有　QR毎　下３桁提示,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,29000,"公演日前日にQR共有・QR毎・下３桁提示可・FC初期当選・重複すり替えなし・有効期限内・クレカ決済(同一クレカなし)・着ブロなし・郵便戻りなし

・前回当選歴...",False,2026-09
sold_milesixtones-2026__11900,,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,electronic,none,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,11900,ランダム配布です。複数名義所持の為、発券後一度チケットを回収し選ばせていただきます。座席券はこちらで決めてお渡しします。座席をお選びするのにお時間頂戴する場合が...,False,2026-09
sold_milesixtones-2026__17580,,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,electronic,female,3名義中3番手,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,17580,"初期当選/3名義中3番手/すり替えなし/下3桁提示可

・待ち合わせ場所や時間などの詳細は決まり次第ご連絡いたします。集合時間に遅れた場合は待たずに入場いたしま...",False,2026-09
sold_milesixtones-2026__39900,,milesixtones-2026,2026-11-08,17:00,ヤンマースタジアム長居,electronic,female,公演前日ログイン情報共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,39900,"QR毎 初期当選 下3桁提示可 重複すり替えなし 発送物戻り無し 着席指定無し 有効期限内 

 公演前日にログイン情報をお伝えいたします。公演中止の場合のみ返...",False,2026-09
sold_milesixtones-2026__30999,,milesixtones-2026,2026-11-21,16:30,日産スタジアム,electronic,female,公演日前日にログイン情報共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,30999," ⭐️着ブロ希望

QR毎/FC先行/座席未定/初期当選/下3桁提示可/有効期限内  

⭐️当選歴（チケホル有）
ヤングオールド大阪下段10-20列のみ

公...",False,2026-09
sold_milesixtones-2026__62000,,milesixtones-2026,2026-11-22,16:30,日産スタジアム,electronic,female,公演日前日ログイン情報共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,62000,"QR毎/FC先行/着ブロ選択なし/座席未定/初期当選/下3桁提示可/有効期限内  

⭐️当選歴（チケホル有）
ヤングオールド東京2階のみ

公演日前日にログイ...",False,2026-09
sold_milesixtones-2026__49999,,milesixtones-2026,2026-11-22,16:30,日産スタジアム,electronic,none,公演日当日QRコード共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,49999,"FC先行 座席未定QR／初期選／重複・す
り替えなし／下3桁提示可能／有効期限内
公演日に連絡ボードにて必要な情報をお伝えします。
お席に関するクレーム・送金停...",False,2026-09
sold_milesixtones-2026__36155,,milesixtones-2026,2026-11-22,16:30,日産スタジアム,electronic,female,同行,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,36155,公演中止以外いかなる場合も返金は致しかねます。,False,2026-09
sold_milesixtones-2026__49000,,milesixtones-2026,2026-11-22,16:30,日産スタジアム,electronic,female,公演日前日にログイン情報共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,1,49000,"QR毎/初期当選/着席ブロック希望なし/重複すり替えなし/下3桁提示可/有効期限内/

入場後は速やかにログアウト・受け取り通知をお願いいたします。
座席に関す...",False,2026-09
sold_milesixtones-2026__52500,,milesixtones-2026,2026-11-22,16:30,日産スタジアム,electronic,female,公演前日QR共有,,,,,2026-09-04 19:01:10,2026-09-04 19:01:10,,historical_unknown,sold,2,52500,"FC先行 座席未定QR／初期当選／重複なし／すり替えなし／下3桁提示可能／有効期限内

公演前日に連絡ボードにて必要な情報をお伝えします。
お席に関するクレーム...",False,2026-09
